[SystemTime { tv_sec: 1783771286, tv_nsec: 229871000 } Pad 1: AxisChanged(LeftStickY, 0.53018415, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 231871000 } Pad 1: AxisChanged(LeftStickY, 0.53489244, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 235871000 } Pad 1: AxisChanged(LeftStickY, 0.53663623, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 237871000 } Pad 1: AxisChanged(LeftStickY, 0.54343706, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 239880000 } Pad 1: AxisChanged(LeftStickY, 0.5490521, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 243871000 } Pad 1: AxisChanged(LeftStickY, 0.5509006, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 245871000 } Pad 1: AxisChanged(LeftStickY, 0.55557394, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 249871000 } Pad 1: AxisChanged(LeftStickY, 0.55717826, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 251871000 } Pad 1: AxisChanged(LeftStickY, 0.564572, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 255871000 } Pad 1: AxisChanged(LeftStickY, 0.5699429, Code(EvCode(EvCode { kind: 3, code: 1 })))
